Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-03-18,PA003,Perth,London,Business Class,615,Yes,3,Nut Free
2024-09-21,PA002,London,New York,Premium Economy,1175,Yes,0,Vegan
2024-07-05,PA001,New York,London,Premium Economy,850,Yes,0,Egg Free
2024-05-16,PA009,Tokyo,New York,Economy,1540,No,3,Vegan
2024-08-20,PA010,New York,Tokyo,Premium Economy,1365,Yes,0,Egg Free
2024-10-15,PA008,New York,Perth,Business Class,386,Yes,3,Egg Free
2024-12-12,PA010,New York,Tokyo,Business Class,793,Yes,1,None
2024-02-14,PA006,London,Tokyo,Business Class,270,Yes,0,Dairy Free
2024-11-23,PA003,Perth,London,Business Class,538,Yes,1,Vegetarian
2024-05-09,PA012,Perth,Tokyo,Economy,3325,No,1,Egg Free
2024-02-14,PA002,London,New York,First Class,296,Yes,0,Vegetarian
2024-05-17,PA003,Perth,London,Business Class,379,Yes,3,Nut Free
2024-05-23,PA004,London,Perth,Economy,3375,No,2,Vegan
2024-12-18,PA002,London,New York,Economy,2910,No,2,Egg Free
2024-06-02,PA007,Perth,New York,First Class,612,Yes,0,Nut Free
2024-02-02,PA012,Perth,Tokyo,Economy,3155,No,2,Egg Free
2024-07-23,PA005,Tokyo,London,Premium Economy,1015,Yes,3,Nut Free
2024-08-21,PA012,Perth,Tokyo,Business Class,572,Yes,0,None
2024-10-20,PA002,London,New York,Premium Economy,1547,No,3,Egg Free
2024-11-26,PA006,London,Tokyo,Economy,1550,No,1,Egg Free
2024-03-17,PA005,Tokyo,London,Economy,2380,Yes,1,Egg Free
2024-11-04,PA008,New York,Perth,Business Class,764,No,0,Vegan
2024-09-14,PA003,Perth,London,Business Class,654,No,0,Vegan
2024-11-27,PA007,Perth,New York,Premium Economy,692,Yes,0,Nut Free
2024-07-25,PA009,Tokyo,New York,Business Class,734,Yes,2,Vegetarian
2024-05-13,PA006,London,Tokyo,Premium Economy,1520,Yes,3,Vegetarian
2024-03-17,PA004,London,Perth,Premium Economy,1230,No,0,Dairy Free
2024-12-31,PA006,London,Tokyo,Business Class,783,No,1,Nut Free
2024-05-13,PA010,New York,Tokyo,First Class,493,No,3,Vegetarian
2024-08-07,PA004,London,Perth,Economy,2025,No,3,Vegan
2024-12-05,PA007,Perth,New York,First Class,523,No,3,None
2024-09-28,PA011,Tokyo,Perth,Premium Economy,1397,Yes,2,Dairy Free
2024-06-14,PA009,Tokyo,New York,First Class,383,Yes,0,Dairy Free
2024-06-08,PA007,Perth,New York,Economy,2825,Yes,2,Vegetarian
2024-11-29,PA010,New York,Tokyo,Business Class,325,No,0,Vegan
2024-05-30,PA003,Perth,London,Business Class,828,No,0,Vegetarian
2024-01-09,PA002,London,New York,First Class,342,Yes,2,Dairy Free
2024-11-22,PA003,Perth,London,Economy,2245,Yes,1,None
2024-03-06,PA010,New York,Tokyo,First Class,563,No,3,Dairy Free
2024-09-04,PA002,London,New York,Premium Economy,1387,Yes,2,Vegetarian
2024-09-19,PA009,Tokyo,New York,Premium Economy,675,Yes,2,Egg Free
2024-02-27,PA004,London,Perth,First Class,535,Yes,3,Dairy Free
2024-10-19,PA001,New York,London,Premium Economy,545,Yes,0,Nut Free
2024-04-21,PA001,New York,London,First Class,202,No,2,Nut Free
2024-03-26,PA012,Perth,Tokyo,First Class,566,Yes,0,Dairy Free
2024-08-07,PA006,London,Tokyo,First Class,468,No,3,Egg Free
2024-05-05,PA002,London,New York,Premium Economy,850,No,3,Vegan
2024-09-27,PA002,London,New York,Premium Economy,625,Yes,2,Dairy Free
2024-05-11,PA006,London,Tokyo,First Class,208,Yes,0,None
2024-06-25,PA012,Perth,Tokyo,Economy,2080,Yes,0,Vegetarian
2024-08-03,PA002,London,New York,First Class,284,Yes,0,None
2024-06-10,PA004,London,Perth,Economy,1710,No,0,Vegetarian
2024-05-11,PA009,Tokyo,New York,Premium Economy,1497,No,3,Vegan
2024-11-21,PA007,Perth,New York,Business Class,715,No,3,Egg Free
2024-04-27,PA011,Tokyo,Perth,Economy,3245,Yes,3,Vegetarian
2024-04-09,PA006,London,Tokyo,Premium Economy,710,Yes,2,Egg Free
2024-11-19,PA003,Perth,London,Premium Economy,1357,Yes,3,Vegan
2024-06-24,PA006,London,Tokyo,First Class,245,Yes,1,Nut Free
2024-02-12,PA011,Tokyo,Perth,Business Class,505,Yes,1,Vegetarian
2024-03-04,PA008,New York,Perth,Business Class,538,Yes,0,Egg Free
2024-12-15,PA009,Tokyo,New York,Economy,1310,Yes,0,Egg Free
2024-06-12,PA007,Perth,New York,Premium Economy,817,No,3,Dairy Free
2024-10-14,PA005,Tokyo,London,Economy,1490,No,1,Vegan
2024-09-25,PA008,New York,Perth,First Class,642,Yes,3,Vegan
2024-03-31,PA010,New York,Tokyo,Premium Economy,1282,No,3,Nut Free
2024-02-23,PA002,London,New York,Premium Economy,547,Yes,2,Nut Free
2024-02-14,PA009,Tokyo,New York,First Class,473,No,1,Egg Free
2024-09-04,PA012,Perth,Tokyo,Premium Economy,1177,No,1,Dairy Free
2024-01-27,PA004,London,Perth,Premium Economy,1147,Yes,2,Nut Free
2024-06-29,PA005,Tokyo,London,Business Class,639,No,3,Egg Free
2024-06-20,PA008,New York,Perth,First Class,217,Yes,2,Egg Free
2024-10-14,PA011,Tokyo,Perth,Economy,2180,Yes,1,Nut Free
2024-04-01,PA004,London,Perth,Business Class,261,Yes,0,Dairy Free
2024-06-18,PA004,London,Perth,First Class,443,No,0,Dairy Free
2024-08-04,PA006,London,Tokyo,Business Class,832,No,2,Nut Free
2024-08-03,PA005,Tokyo,London,First Class,590,No,0,Nut Free
2024-03-02,PA003,Perth,London,Business Class,439,No,1,Dairy Free
2024-07-07,PA004,London,Perth,Business Class,242,No,0,Nut Free
2024-10-18,PA010,New York,Tokyo,Premium Economy,1642,No,0,Nut Free
2024-08-04,PA011,Tokyo,Perth,Economy,1005,Yes,1,Dairy Free
2024-07-10,PA012,Perth,Tokyo,First Class,287,No,1,Nut Free
2024-06-15,PA009,Tokyo,New York,First Class,500,No,3,Vegetarian
2024-03-02,PA006,London,Tokyo,Economy,3070,No,3,Egg Free
2024-04-09,PA007,Perth,New York,Premium Economy,842,Yes,3,Egg Free
2024-03-17,PA012,Perth,Tokyo,Premium Economy,587,No,3,Vegetarian
2024-10-28,PA012,Perth,Tokyo,Economy,1235,No,1,Nut Free
2024-11-06,PA001,New York,London,Premium Economy,1270,No,1,None
2024-08-18,PA002,London,New York,Premium Economy,1360,Yes,0,None
2024-08-13,PA004,London,Perth,Premium Economy,735,No,2,Nut Free
2024-04-17,PA002,London,New York,Economy,1630,Yes,1,Vegan
2024-01-15,PA004,London,Perth,Premium Economy,1472,Yes,0,Nut Free
2024-02-10,PA009,Tokyo,New York,First Class,368,Yes,3,Vegan
2024-05-22,PA007,Perth,New York,Economy,2645,No,3,Dairy Free
2024-06-02,PA006,London,Tokyo,Premium Economy,1735,Yes,3,Vegan
2024-05-18,PA008,New York,Perth,Business Class,271,No,3,Egg Free
2024-10-06,PA010,New York,Tokyo,Premium Economy,992,Yes,3,Vegan
2024-04-01,PA005,Tokyo,London,Premium Economy,1597,No,3,Egg Free
2024-07-20,PA006,London,Tokyo,First Class,215,No,3,None
2024-02-15,PA012,Perth,Tokyo,First Class,208,No,0,Vegan
2024-02-08,PA009,Tokyo,New York,Premium Economy,610,No,3,Nut Free
2024-06-03,PA011,Tokyo,Perth,First Class,201,Yes,1,Vegetarian
2024-03-05,PA001,New York,London,Economy,2685,No,3,Dairy Free
2024-06-17,PA004,London,Perth,Premium Economy,1487,No,0,Dairy Free
2024-09-08,PA005,Tokyo,London,Business Class,422,No,0,Dairy Free
2024-12-10,PA002,London,New York,Economy,3030,Yes,2,Dairy Free
2024-12-21,PA001,New York,London,Business Class,655,Yes,2,None
2024-10-01,PA005,Tokyo,London,Economy,1225,No,0,Vegetarian
2024-09-10,PA011,Tokyo,Perth,Business Class,306,Yes,0,Dairy Free
2024-09-10,PA006,London,Tokyo,First Class,670,No,1,Dairy Free
2024-03-12,PA006,London,Tokyo,Economy,3010,Yes,3,Egg Free
2024-10-17,PA005,Tokyo,London,First Class,228,Yes,1,None
2024-08-24,PA003,Perth,London,Economy,1780,Yes,3,Dairy Free
2024-12-11,PA004,London,Perth,First Class,595,Yes,2,Vegan
2024-05-25,PA001,New York,London,Economy,1745,No,1,Dairy Free
2024-09-27,PA008,New York,Perth,Economy,1770,No,0,Nut Free
2024-10-08,PA008,New York,Perth,Economy,3090,No,0,Dairy Free
2024-08-01,PA003,Perth,London,Economy,2170,Yes,3,Nut Free
2024-07-31,PA010,New York,Tokyo,Premium Economy,1412,Yes,0,Vegan
2024-11-15,PA003,Perth,London,Premium Economy,735,No,0,Vegan
2024-01-29,PA004,London,Perth,Business Class,435,No,2,Egg Free
2024-01-26,PA001,New York,London,First Class,381,No,2,Vegan
2024-04-20,PA003,Perth,London,Business Class,688,No,2,Egg Free
2024-08-12,PA005,Tokyo,London,Economy,1050,No,1,None
2024-10-08,PA008,New York,Perth,Business Class,249,Yes,2,Nut Free
2024-07-04,PA003,Perth,London,Premium Economy,1307,No,0,Vegetarian
2024-04-01,PA001,New York,London,Business Class,512,No,1,Egg Free
2024-04-21,PA004,London,Perth,Business Class,679,No,3,Nut Free
2024-01-30,PA004,London,Perth,Business Class,246,No,0,Vegetarian
2024-12-12,PA010,New York,Tokyo,Premium Economy,1437,Yes,1,Egg Free
2024-10-14,PA009,Tokyo,New York,Economy,1360,Yes,1,Dairy Free
2024-02-11,PA005,Tokyo,London,Premium Economy,1567,No,1,Dairy Free
2024-11-17,PA009,Tokyo,New York,First Class,340,No,1,Nut Free
2024-08-08,PA012,Perth,Tokyo,First Class,426,No,1,Vegetarian
2024-10-25,PA008,New York,Perth,First Class,575,Yes,0,Nut Free
2024-12-20,PA002,London,New York,Business Class,574,No,3,Dairy Free
2024-07-02,PA006,London,Tokyo,First Class,522,No,3,Dairy Free
2024-08-07,PA002,London,New York,Premium Economy,832,Yes,0,None
2024-12-04,PA004,London,Perth,Economy,2540,Yes,3,Vegan
2024-07-28,PA005,Tokyo,London,First Class,263,Yes,2,None
2024-10-25,PA010,New York,Tokyo,Economy,1170,No,3,Egg Free
2024-03-12,PA007,Perth,New York,Economy,2640,Yes,0,Vegan
2024-05-11,PA003,Perth,London,Economy,2885,Yes,3,Vegetarian
2024-11-18,PA005,Tokyo,London,Economy,3305,No,0,Vegetarian
2024-12-05,PA008,New York,Perth,Economy,2200,Yes,1,Nut Free
2024-06-02,PA011,Tokyo,Perth,Premium Economy,1177,No,3,Dairy Free
2024-08-09,PA009,Tokyo,New York,First Class,612,No,3,Nut Free
2024-03-13,PA001,New York,London,Premium Economy,1422,Yes,0,Dairy Free
2024-08-24,PA010,New York,Tokyo,Economy,2145,No,2,None
2024-12-05,PA012,Perth,Tokyo,Economy,2230,Yes,3,None
2024-11-11,PA008,New York,Perth,Economy,2980,No,1,Vegetarian
2024-11-02,PA011,Tokyo,Perth,First Class,441,No,1,Vegan
2024-08-21,PA008,New York,Perth,First Class,300,Yes,0,Vegan
2024-04-06,PA011,Tokyo,Perth,Premium Economy,960,No,2,Dairy Free
2024-10-31,PA010,New York,Tokyo,Premium Economy,780,Yes,2,None
2024-01-03,PA007,Perth,New York,Economy,3300,No,1,None
2024-11-01,PA009,Tokyo,New York,Premium Economy,1585,Yes,1,Dairy Free
2024-06-04,PA010,New York,Tokyo,First Class,389,Yes,1,Egg Free
2024-01-02,PA009,Tokyo,New York,Business Class,793,No,0,Vegetarian
2024-06-12,PA012,Perth,Tokyo,Business Class,318,Yes,1,Nut Free
2024-08-13,PA011,Tokyo,Perth,Economy,1165,Yes,0,None
2024-02-03,PA003,Perth,London,Premium Economy,1095,Yes,3,None
2024-09-17,PA006,London,Tokyo,Business Class,543,No,0,None
2024-03-11,PA009,Tokyo,New York,Business Class,446,No,2,None
2024-08-20,PA005,Tokyo,London,Premium Economy,1632,Yes,2,Vegan
2024-01-20,PA004,London,Perth,First Class,440,Yes,3,Dairy Free
2024-05-04,PA007,Perth,New York,Premium Economy,1680,Yes,1,Nut Free
2024-10-11,PA002,London,New York,Business Class,602,No,2,Egg Free
2024-10-31,PA011,Tokyo,Perth,Economy,2915,No,2,Nut Free
2024-08-25,PA001,New York,London,First Class,673,No,2,Vegan
2024-01-03,PA006,London,Tokyo,Economy,1280,Yes,1,Dairy Free
2024-08-15,PA003,Perth,London,Premium Economy,555,No,0,Dairy Free
2024-04-11,PA008,New York,Perth,First Class,676,Yes,1,Egg Free
2024-03-21,PA004,London,Perth,Business Class,836,Yes,1,Egg Free
2024-10-18,PA009,Tokyo,New York,Premium Economy,1372,No,1,None
2024-10-09,PA011,Tokyo,Perth,Economy,3065,Yes,3,Dairy Free
2024-03-20,PA008,New York,Perth,First Class,357,No,2,Nut Free
2024-01-12,PA008,New York,Perth,Business Class,601,No,3,Vegetarian
2024-05-31,PA007,Perth,New York,Premium Economy,725,Yes,3,Dairy Free
2024-05-19,PA005,Tokyo,London,Business Class,424,Yes,2,Nut Free
2024-06-13,PA003,Perth,London,Premium Economy,1382,No,1,Vegan
2024-04-01,PA007,Perth,New York,First Class,359,No,2,Nut Free
2024-01-25,PA012,Perth,Tokyo,Business Class,358,Yes,0,None
2024-01-02,PA003,Perth,London,Premium Economy,1200,Yes,3,Dairy Free
2024-03-22,PA010,New York,Tokyo,Premium Economy,1135,No,0,Dairy Free
2024-05-15,PA008,New York,Perth,Business Class,427,Yes,0,Vegan
2024-01-18,PA010,New York,Tokyo,First Class,415,No,2,Vegetarian
2024-04-24,PA010,New York,Tokyo,Economy,2130,Yes,0,Dairy Free
2024-12-12,PA006,London,Tokyo,Economy,1640,No,0,Egg Free
2024-12-07,PA009,Tokyo,New York,First Class,662,No,1,Egg Free
2024-11-03,PA012,Perth,Tokyo,First Class,242,No,2,None
2024-09-22,PA009,Tokyo,New York,Economy,1690,No,1,Dairy Free
2024-04-28,PA002,London,New York,Business Class,241,Yes,2,Vegetarian
2024-12-13,PA003,Perth,London,Premium Economy,505,Yes,2,None
2024-06-07,PA007,Perth,New York,Premium Economy,570,No,3,Egg Free
2024-06-24,PA012,Perth,Tokyo,Premium Economy,1597,No,3,Vegetarian
2024-10-20,PA011,Tokyo,Perth,First Class,385,Yes,2,Dairy Free
2024-04-06,PA005,Tokyo,London,Economy,2465,No,2,Vegan
2024-08-27,PA002,London,New York,First Class,573,Yes,1,Vegan
2024-11-12,PA003,Perth,London,Economy,2190,Yes,3,Vegetarian
2024-09-11,PA007,Perth,New York,Business Class,602,No,2,Vegetarian
2024-07-23,PA009,Tokyo,New York,Business Class,339,Yes,1,Vegetarian
2024-02-22,PA005,Tokyo,London,Business Class,468,Yes,1,None
2024-08-30,PA002,London,New York,Economy,3095,No,0,Egg Free
2024-09-18,PA001,New York,London,Economy,1020,Yes,0,Vegetarian
2024-12-06,PA011,Tokyo,Perth,Business Class,601,Yes,3,Dairy Free
2024-10-10,PA001,New York,London,Economy,3035,Yes,3,Vegetarian
2024-12-14,PA007,Perth,New York,Premium Economy,1305,Yes,2,Nut Free
2024-11-07,PA006,London,Tokyo,First Class,252,Yes,0,None
2024-11-05,PA002,London,New York,First Class,652,No,1,Vegan
2024-03-21,PA003,Perth,London,Business Class,272,Yes,2,Nut Free
2024-08-07,PA010,New York,Tokyo,Business Class,392,No,2,Nut Free
2024-02-26,PA009,Tokyo,New York,Premium Economy,1085,Yes,2,Vegan
2024-06-03,PA007,Perth,New York,Premium Economy,1390,No,1,Vegan
2024-11-21,PA003,Perth,London,First Class,599,No,2,Vegetarian
2024-07-31,PA012,Perth,Tokyo,Premium Economy,817,Yes,1,Egg Free
2024-01-20,PA008,New York,Perth,Economy,2330,Yes,1,Egg Free
2024-02-16,PA009,Tokyo,New York,Premium Economy,675,No,1,None
2024-08-26,PA007,Perth,New York,Economy,2235,Yes,1,None
2024-05-30,PA007,Perth,New York,Business Class,417,No,2,None
2024-12-27,PA012,Perth,Tokyo,First Class,606,No,2,Vegan
2024-04-05,PA005,Tokyo,London,Economy,3005,Yes,0,None
2024-01-05,PA010,New York,Tokyo,First Class,681,Yes,0,None
2024-03-02,PA006,London,Tokyo,Business Class,558,Yes,2,Vegetarian
2024-03-06,PA009,Tokyo,New York,Economy,1840,Yes,3,Vegetarian
2024-04-16,PA012,Perth,Tokyo,First Class,506,Yes,2,Nut Free
2024-05-29,PA007,Perth,New York,Business Class,240,Yes,1,Vegetarian
2024-01-04,PA002,London,New York,Premium Economy,1635,Yes,2,Egg Free
2024-10-31,PA008,New York,Perth,Economy,1785,No,0,Egg Free
2024-07-07,PA011,Tokyo,Perth,Economy,2590,Yes,1,Vegetarian
2024-10-06,PA003,Perth,London,Business Class,783,Yes,2,Vegan
2024-05-03,PA001,New York,London,Economy,3160,Yes,2,None
2024-08-09,PA011,Tokyo,Perth,First Class,512,Yes,0,Egg Free
2024-10-27,PA010,New York,Tokyo,Economy,1715,Yes,0,Nut Free
2024-06-10,PA009,Tokyo,New York,First Class,517,Yes,2,Vegan
2024-12-20,PA006,London,Tokyo,Economy,2725,Yes,0,Vegetarian
2024-02-14,PA007,Perth,New York,Business Class,408,No,2,Vegetarian
2024-11-27,PA012,Perth,Tokyo,Economy,2500,Yes,1,Dairy Free
2024-03-23,PA009,Tokyo,New York,Economy,2300,Yes,1,Dairy Free
2024-07-06,PA003,Perth,London,First Class,305,Yes,1,Egg Free
2024-12-05,PA002,London,New York,Business Class,499,Yes,0,Vegetarian
2024-08-24,PA003,Perth,London,First Class,294,No,3,Vegan
2024-11-22,PA012,Perth,Tokyo,Business Class,598,No,2,Dairy Free
2024-03-27,PA003,Perth,London,Business Class,756,No,3,Egg Free
2024-04-30,PA012,Perth,Tokyo,Economy,1600,No,1,Nut Free
2024-09-06,PA006,London,Tokyo,First Class,489,No,0,Vegetarian
2024-02-01,PA005,Tokyo,London,Premium Economy,1480,No,2,Vegetarian
2024-07-09,PA012,Perth,Tokyo,Economy,1420,Yes,0,Nut Free
2024-11-25,PA012,Perth,Tokyo,Premium Economy,1432,No,3,Egg Free
2024-03-31,PA006,London,Tokyo,First Class,300,Yes,0,None
2024-05-12,PA012,Perth,Tokyo,Business Class,744,No,2,Dairy Free
2024-05-06,PA004,London,Perth,First Class,591,Yes,3,None
2024-04-10,PA001,New York,London,Premium Economy,1042,Yes,0,None
2024-07-16,PA010,New York,Tokyo,Economy,1460,No,1,Vegetarian
2024-05-16,PA003,Perth,London,Economy,2925,Yes,1,Vegan
2024-12-01,PA008,New York,Perth,First Class,340,Yes,1,Egg Free
2024-06-26,PA003,Perth,London,Business Class,463,Yes,1,Vegan
2024-12-21,PA001,New York,London,Business Class,325,Yes,3,Vegetarian
2024-08-19,PA006,London,Tokyo,Economy,2000,No,3,Vegetarian
2024-07-10,PA007,Perth,New York,Economy,1600,Yes,1,Vegetarian
2024-08-01,PA011,Tokyo,Perth,Business Class,452,No,3,None
2024-12-28,PA001,New York,London,Economy,1105,No,2,Vegan
2024-11-02,PA006,London,Tokyo,Economy,2225,No,2,Egg Free
2024-12-16,PA006,London,Tokyo,Premium Economy,1582,Yes,0,Nut Free
2024-05-23,PA003,Perth,London,Economy,2045,Yes,2,None
2024-08-14,PA004,London,Perth,Premium Economy,742,Yes,2,Vegan
2024-09-19,PA011,Tokyo,Perth,Business Class,332,Yes,2,Dairy Free
2024-07-06,PA004,London,Perth,Premium Economy,595,Yes,2,Vegan
2024-01-23,PA001,New York,London,Premium Economy,1290,Yes,3,Vegan
2024-07-07,PA008,New York,Perth,First Class,348,Yes,2,Vegetarian
2024-09-25,PA007,Perth,New York,Premium Economy,522,No,0,Nut Free
2024-11-06,PA001,New York,London,Economy,1245,Yes,2,None
2024-08-19,PA005,Tokyo,London,Business Class,421,Yes,0,Nut Free
2024-05-06,PA002,London,New York,Premium Economy,912,Yes,0,Dairy Free
2024-12-17,PA011,Tokyo,Perth,First Class,511,Yes,1,Dairy Free
2024-07-29,PA011,Tokyo,Perth,Business Class,337,Yes,1,Vegan
2024-01-08,PA008,New York,Perth,Economy,3065,Yes,1,Vegan
2024-07-01,PA012,Perth,Tokyo,Business Class,655,No,3,Nut Free
2024-12-20,PA004,London,Perth,Business Class,760,No,0,Nut Free
2024-12-29,PA003,Perth,London,Premium Economy,1107,Yes,1,None
2024-07-24,PA005,Tokyo,London,Business Class,246,No,1,Nut Free
2024-08-29,PA006,London,Tokyo,First Class,476,Yes,2,Vegan
2024-04-04,PA012,Perth,Tokyo,Business Class,818,Yes,1,Egg Free
2024-08-09,PA010,New York,Tokyo,First Class,665,Yes,3,Dairy Free
2024-12-25,PA002,London,New York,Economy,2905,No,3,None
2024-04-03,PA004,London,Perth,First Class,427,Yes,1,None
2024-08-18,PA005,Tokyo,London,Economy,1975,No,1,Vegan
2024-01-12,PA011,Tokyo,Perth,Business Class,780,No,1,Dairy Free
2024-12-03,PA011,Tokyo,Perth,Premium Economy,945,No,1,Egg Free
2024-12-30,PA011,Tokyo,Perth,Premium Economy,745,No,2,Dairy Free
2024-10-06,PA009,Tokyo,New York,Economy,3165,Yes,1,None
2024-07-14,PA006,London,Tokyo,First Class,630,Yes,1,Egg Free
2024-05-06,PA004,London,Perth,First Class,318,No,1,Vegan
2024-01-05,PA012,Perth,Tokyo,First Class,436,Yes,3,Nut Free
2024-10-09,PA007,Perth,New York,Premium Economy,875,No,1,Vegetarian
2024-03-22,PA007,Perth,New York,Economy,2240,Yes,0,Dairy Free
2024-02-17,PA008,New York,Perth,Economy,1340,No,3,Vegetarian
2024-10-27,PA005,Tokyo,London,First Class,683,No,0,Egg Free
2024-06-18,PA001,New York,London,Business Class,280,No,0,None
2024-05-25,PA010,New York,Tokyo,Business Class,674,Yes,3,None
2024-03-20,PA007,Perth,New York,Economy,1170,Yes,0,None
2024-12-05,PA009,Tokyo,New York,Business Class,799,No,2,None
2024-12-31,PA010,New York,Tokyo,Premium Economy,690,No,3,Vegetarian
2024-02-08,PA006,London,Tokyo,Business Class,534,No,3,Vegetarian
2024-02-21,PA004,London,Perth,First Class,317,No,0,None
2024-05-01,PA011,Tokyo,Perth,Economy,2780,No,0,Dairy Free
2024-10-22,PA001,New York,London,Premium Economy,952,Yes,1,None
